Úřad	Náklady na papír	Ostatní rozměry papíru	Tiskárny	Tonery	Servis	Software	Počet papírů	Počet uživatelů	Počet tiskáren
Magistrát Karlovy Vary	769972	0	11887107	920777	3207493	1865861	5046500	337	220
Magistrát Plzeň	432968	0	13316064	53030	46310	42000	4123500	886	269
Dopravní podnik hl. m. Prahy, a.s.	1899493	203449	28496981	8719597	0	0	11741500	4433	220
Státní správa hmotných rezerv	432516	0	2041398	626095	1656854	161612	2177000	300	158
MŽP	624431	12662	318487	6813398	3026125	616404	5065000	600	304
MMR	383685	59096	3175753	2988299	465191		3876500	623	77
Pražský magistrát	4314765	0	11790085	30488039	20056421	0	37578500	1890	1327
Ministerstvo zahraničních věcí České republiky	1679526	0	2394115	11493593	2200361	0	11275000	860	920
Státní fond životního prostředí ČR	1197804	0	2407165	7223513	3634095	138837	9793500	526	167
Puncovní úřad	197600	4000	64300	1394000	239800	0	1296500	80	56
Dopravní podnik Ostrava a.s.	461154	99312	411911	3307695	675120	0	3757500	549	252
Ministerstvo financí	3961129	328049	1875520	9029971	9046300	0	18397500	1323	1555
Státní fond dopravní infrastruktury	185663	13920	67936	644177	889111	0	1400000	60	62
ŘSD	1765701	86328	4755988	11980245	1636273	14689	16394500	0	624
Ministerstvo zemědělství	1548414	0	418328	11551457	416755	0	11300000	614	125
Magistrát Pardubice	954765	84241	1742945	4511690	667599	178378	6850000	354	274
Krajský úřad Středočeského kraje	1802000	0	2486300	4459000	2447956	0	9536000	616	628
Magistrát Brno	3552859	0	5363995	8200205	9479701	0	23500000	1174	841
Ministerstvo průmyslu a obchodu	730000	317528	2483877	4479536	1172537	25560	8650000	749	608
Krajský úřad kraje Vysočina	842534	0	310891	232672	4138349	0	5334000	473	98
Státní úřadu inspekce práce	1604794	0	2163924	6712950	1322456	0	12142500	909	810
Úřad pro zastupování státu ve věcech majetkových	5105428	251479	3284153	15564303	2919626	0	28392500	1720	1514
Magistrát  Hradec Králové	780865	36270	950780	3024709	1684680	0	7067500	409	393
ČTU	2137287	122088	1575964	11623067	445339	0	17922500	576	611
Generální inspekce bezpečnostních sborů	418611	14942	1650364	723403	0	0	3390000	247	151
Magistrát Ostrava	2248600	483000	1414000	4455000	4534816	3835	16000000	810	616
Ministerstvo dopravy	1218329	39131	97514	1495311	2522594	0	7322500	429	120
Magistrát Opava	422712	59938	0	1195941	99396	568700	3400000	379	214
Dopravní podnik města Brna, a. s.	715416	0	404770	2126841	439417	0	5419000	858	339
Magistrát Kladno	708431	0	862000	1185000	103000	90000	4355000	282	329
ÚOHS	1995000	0	823139	1344273	813209	573434	8575000	237	88
Magistrát Zlín	987446	17282	375394	2722168	717801	461550	9467500	428	382
