	2012	2013	2014
Pražský magistrát	12931000	11812500	12835000
Magistrát Ostrava	5100000	5600000	5300000
Puncovní úřad	435000	429000	432500
Magistrát Opava	1200000	1200000	1000000
Dopravní podnik hl. m. Prahy, a.s.	2305500	4255500	5180500
MŽP	2222500	1142500	1700000
Magistrát Plzeň	1207500	1184000	1732000
Státní fond dopravní infrastruktury	500000	900000	
ŘSD	5234500	5472500	5687500
Krajský úřad Středočeského kraje	3034000	3142000	3360000
Krajský úřad kraje Vysočina	1875000	1791000	1668000
ČTU	3987500	3925000	10010000
Magistrát Pardubice	2462500	2237500	2150000
Magistrát Kladno	1642500	1452500	1260000
Magistrát  Hradec Králové	2306000	2350000	2411500
Státní správa hmotných rezerv	672000	950000	555000
Ministerstvo dopravy	2640000	1740000	2942500
Státní fond životního prostředí ČR	2895000	2940000	3958500
Státní úřadu inspekce práce	3702500	3287500	5152500
Úřad pro zastupování státu ve věcech majetkových	7187500	8992500	12212500
Ministerstvo zahraničních věcí České republiky	4200000	3115000	3960000
Dopravní podnik Ostrava a.s.	1302500	1054000	1401000
Ministerstvo zemědělství	3700000	3200000	4400000
Ministerstvo průmyslu a obchodu	4200000	2125000	2325000
