urad	2011	2014
Pražský magistrát	101173254	66649310
Krajský úřad kraje Vysočina	8202721	5524446
Magistrát Opava	1923286	2346687
Magistrát Plzeň	21531711	13890372
Státní fond dopravní infrastruktury	4383565	1800808
ŘSD	33238963	20239225
Krajský úřad Středočeského kraje	13423854	11195256
ČTU	10489395	15903745
Magistrát Pardubice	6905008	8139618
Magistrát Kladno	5835236	2948431
Magistrát  Hradec Králové	3040526	6477304
MMR	23169012	7072024
ÚOHS	6702000	5549055
Magistrát Brno	27956684	26596760
Magistrát Karlovy Vary	7101607	18651210
Ministerstvo financí	16711540	24240969
Magistrát Zlín	6840330	5281641
Magistrát české Budějovice	5812601	4374719
